Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

MW-002 FOCUSED PASS | 3 hold parses as first-class valid result
MW-002 FOCUSED PASS | 2 advance parses; unknown/model-identity fields ignored
MW-002 FOCUSED PASS | 8 parser never surfaces model-supplied identity/priority
MW-002 FOCUSED PASS | 3 malformed/invalid evaluation fail-soft: {"decision":"maybe"}
MW-002 FOCUSED PASS | 3 malformed/invalid evaluation fail-soft: {"decision":"advance","event":""
MW-002 FOCUSED PASS | 3 malformed/invalid evaluation fail-soft: {"decision":"advance","event":"x
MW-002 FOCUSED PASS | 3 malformed/invalid evaluation fail-soft: {"decision":"advance","event":"x
MW-002 FOCUSED PASS | 3 malformed/invalid evaluation fail-soft: {"decision":1}
MW-002 FOCUSED PASS | 3 malformed/invalid evaluation fail-soft: not json
MW-002 FOCUSED PASS | 3 malformed/invalid evaluation fail-soft: 
MW-002 FOCUSED PASS | 3 non-string event rejected without coercion
MW-002 FOCUSED PASS | 3 non-string effect rejected without coercion
MW-002 FOCUSED PASS | 3 oversized event rejected by bounded validation
MW-002 FOCUSED PASS | 3 code-fenced response parses like semantic lane
MW-002 FOCUSED PASS | 1 terminal wake issues exactly one evaluator request
MW-002 FOCUSED PASS | 1 hold is a first-class successful result
MW-002 FOCUSED PASS | 1 hold creates no event and no fake mutation
MW-002 FOCUSED PASS | 1 hold does not auto-retry the same runtime opportunity
MW-002 FOCUSED PASS | 2 advance commits exactly one durable mutation
MW-002 FOCUSED PASS | 15 one opportunity commits at most one evolution record
MW-002 FOCUSED PASS | 8 Program-owned deterministic world_evolution_id
MW-002 FOCUSED PASS | 8 model-minted event ID ignored
MW-002 FOCUSED PASS | 8 record binds exact opportunity turn/hash
MW-002 FOCUSED PASS | 8 record binds evolution base head
MW-002 FOCUSED PASS | 8 identity changes with base head (deterministic derivation)
MW-002 FOCUSED PASS | 8 Program owns mutation/node identity too
MW-002 FOCUSED PASS | 2 record carries no model-supplied authority fields
MW-002 FOCUSED PASS | 2 bounded event/effects preserved
MW-002 FOCUSED PASS | 2 committed record satisfies v0.1 invariants
